country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed_cases_count,deaths_count,source
Armenia,AM,ARM,2963234,2020-09-16,150,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-12,67,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-07-25,,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-03-20,,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-09-26,,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-05-08,,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-08-19,316,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-08-17,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-10-05,168,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-04,2,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-08-28,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-21,22,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-09-14,23,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-06,0,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-05-13,,107,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-06-19,24,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-03-30,1815,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-29,2091,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-04-25,,7,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-10-22,,191,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-10-14,4,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-03-12,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-10-14,,1,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-07-02,182,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-09-01,0,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-07-15,233,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-08-13,,43,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-07-17,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-05-08,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-06-28,64,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-03-21,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-09-12,,6,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-09-23,,1,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-05-20,4,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-05-18,24,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-10-17,281,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-18,622,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-10-14,,62,"Epidemic intelligence, national daily data"
