country,country_code_2_digit,country_code_3_digit,population,reported_date,icu_occupancy_count,hospital_occupancy_count,source
Austria,AT,AUT,8858775,2020-10-25,174,1225,Country_Website
Belgium,BE,BEL,11455519,2020-10-25,756,4825,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-25,138,1976,External_Github
Czechia,CZ,CZE,10649800,2020-10-25,828,5613,Country_Website
Denmark,DK,DNK,5806081,2020-10-25,18,127,Country_Website
Estonia,EE,EST,1324820,2020-10-25,4,29,Country_API
France,FR,FRA,67012883,2020-10-25,2575,16454,Country_Website
Hungary,HU,HUN,9772756,2020-10-25,221,2449,JRC
Ireland,IE,IRL,4904240,2020-10-25,39,319,Country_Website
Italy,IT,ITA,60359546,2020-10-25,1208,13214,Country_Github
Latvia,LV,LVA,1919968,2020-10-25,,146,Country_Website
Luxembourg,LU,LUX,613894,2020-10-25,12,114,Country_Website
Netherlands,NL,NLD,17282163,2020-10-25,537,,Other Website
Portugal,PT,PRT,10276617,2020-10-25,230,1574,Country_Website
Romania,RO,ROU,19414458,2020-10-25,828,,Country_Website
Slovakia,SK,SVK,5450421,2020-10-25,,1117,JRC
Slovenia,SI,SVN,2080908,2020-10-25,73,508,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-25,,9199,Country_Website
Austria,AT,AUT,8858775,2020-10-24,175,1177,Country_Website
Belgium,BE,BEL,11455519,2020-10-24,694,4408,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-24,127,1886,External_Github
Czechia,CZ,CZE,10649800,2020-10-24,800,5345,Country_Website
Denmark,DK,DNK,5806081,2020-10-24,17,120,Country_Website
Estonia,EE,EST,1324820,2020-10-24,3,28,Country_API
France,FR,FRA,67012883,2020-10-24,2491,15637,Country_Website
Hungary,HU,HUN,9772756,2020-10-24,205,2245,JRC
Poland,PL,POL,37972812,2020-04-19,,2482,Surveillance
Portugal,PT,PRT,10276617,2020-04-19,224,1243,Country_Website
Romania,RO,ROU,19414458,2020-04-19,256,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-19,26,89,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-19,,17455,Country_Website
Belgium,BE,BEL,11455519,2020-04-18,1081,4892,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-18,44,246,External_Github
Croatia,HR,HRV,4076246,2020-04-18,,361,Country_Website
Czechia,CZ,CZE,10649800,2020-04-18,75,338,Country_Website
Denmark,DK,DNK,5806081,2020-04-18,87,317,Country_Website
Estonia,EE,EST,1324820,2020-04-18,,123,Country_API
Estonia,EE,EST,1324820,2020-04-18,10,,Surveillance
Finland,FI,FIN,5517919,2020-04-18,70,199,External_Github
France,FR,FRA,67012883,2020-04-18,5733,30515,Country_Website
Iceland,IS,ISL,356991,2020-04-18,5,28,Country_Website
Ireland,IE,IRL,4904240,2020-04-18,134,811,Country_Website
Italy,IT,ITA,60359546,2020-04-18,2733,27740,Country_Github
Latvia,LV,LVA,1919968,2020-04-18,,37,Surveillance
Luxembourg,LU,LUX,613894,2020-04-18,40,176,Country_Website
Malta,MT,MLT,493559,2020-04-18,1,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-18,1058,,Other Website
Norway,NO,NOR,5328212,2020-04-18,,148,Country_API
Portugal,PT,PRT,10276617,2020-04-18,228,1253,Country_Website
Romania,RO,ROU,19414458,2020-04-18,248,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-18,27,93,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-18,,17442,Country_Website
Slovenia,SI,SVN,2080908,2020-04-06,30,112,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-06,,18256,Country_Website
Belgium,BE,BEL,11455519,2020-04-05,1267,5620,Country_Website
Czechia,CZ,CZE,10649800,2020-04-05,82,370,Country_Website
Denmark,DK,DNK,5806081,2020-04-05,138,498,Country_Website
Estonia,EE,EST,1324820,2020-04-05,14,,Surveillance
Estonia,EE,EST,1324820,2020-04-05,,135,Country_API
Finland,FI,FIN,5517919,2020-04-05,76,209,External_Github
France,FR,FRA,67012883,2020-04-05,6859,28747,Country_Website
Iceland,IS,ISL,356991,2020-04-05,11,36,Country_Website
Ireland,IE,IRL,4904240,2020-04-05,139,702,Country_Website
Italy,IT,ITA,60359546,2020-04-05,3977,32926,Country_Github
Latvia,LV,LVA,1919968,2020-04-05,,36,Surveillance
Luxembourg,LU,LUX,613894,2020-04-05,43,203,Country_Website
Malta,MT,MLT,493559,2020-04-05,4,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-05,1306,,Other Website
Norway,NO,NOR,5328212,2020-04-05,,310,Country_API
Portugal,PT,PRT,10276617,2020-04-05,267,1084,Country_Website
Romania,RO,ROU,19414458,2020-04-05,141,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-05,31,110,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-05,,17779,Country_Website
Belgium,BE,BEL,11455519,2020-04-04,1261,5531,Country_Website
Czechia,CZ,CZE,10649800,2020-04-04,85,365,Country_Website
Denmark,DK,DNK,5806081,2020-04-04,138,503,Country_Website
Estonia,EE,EST,1324820,2020-04-04,,134,Country_API
Estonia,EE,EST,1324820,2020-04-04,17,,Surveillance
Romania,RO,ROU,19414458,2020-04-02,78,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-02,30,108,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-02,,13255,Country_Website
Belgium,BE,BEL,11455519,2020-04-01,1144,5220,Country_Website
Czechia,CZ,CZE,10649800,2020-04-01,75,344,Country_Website
Denmark,DK,DNK,5806081,2020-04-01,146,535,Country_Website
Estonia,EE,EST,1324820,2020-04-01,,93,Country_API
Estonia,EE,EST,1324820,2020-04-01,16,,Surveillance
Finland,FI,FIN,5517919,2020-04-01,62,159,External_Github
France,FR,FRA,67012883,2020-04-01,5940,24543,Country_Website
Iceland,IS,ISL,356991,2020-04-01,14,43,Country_Website
Ireland,IE,IRL,4904240,2020-04-01,128,656,Country_Website
Italy,IT,ITA,60359546,2020-04-01,4035,32438,Country_Github
Latvia,LV,LVA,1919968,2020-04-01,,28,Surveillance
Luxembourg,LU,LUX,613894,2020-04-01,33,187,Country_Website
Malta,MT,MLT,493559,2020-04-01,3,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-01,1210,,Other Website
Norway,NO,NOR,5328212,2020-04-01,,325,Country_API
Portugal,PT,PRT,10276617,2020-04-01,230,726,Country_Website
Slovenia,SI,SVN,2080908,2020-04-01,31,109,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-01,,13108,Country_Website
Belgium,BE,BEL,11455519,2020-03-31,1088,4989,Country_Website
Czechia,CZ,CZE,10649800,2020-03-31,72,320,Country_Website
Denmark,DK,DNK,5806081,2020-03-31,145,529,Country_Website
Estonia,EE,EST,1324820,2020-03-31,15,,Surveillance
Estonia,EE,EST,1324820,2020-03-31,,102,Country_API
Belgium,BE,BEL,11455519,2020-04-10,1262,5663,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-10,33,231,External_Github
Czechia,CZ,CZE,10649800,2020-04-10,89,403,Country_Website
Denmark,DK,DNK,5806081,2020-04-10,113,401,Country_Website
Estonia,EE,EST,1324820,2020-04-10,11,,Surveillance
Estonia,EE,EST,1324820,2020-04-10,,143,Country_API
Finland,FI,FIN,5517919,2020-04-10,81,236,External_Github
France,FR,FRA,67012883,2020-04-10,6875,31108,Country_Website
Iceland,IS,ISL,356991,2020-04-10,10,38,Country_Website
Ireland,IE,IRL,4904240,2020-04-10,155,825,Country_Website
